"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2192]","Pressure[2557]","Pressure[2699.793]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2192]","CO2Gas[2557]","CO2Gas[2699.793]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2192]","CO2Oil[2557]","CO2Oil[2699.793]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2192]","CO2Water[2557]","CO2Water[2699.793]","Cell Type"
1,0.02,0.1866,0.1866,0.01866,16450,15817,15686.5,15578.6,15530.1,15477.8,15462,15435.7,15431.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.3351,0.3351,0.03351,16450,15789.6,15619.2,15484.6,15419.2,15357.5,15335.3,15306.7,15301.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0823,0.1437,0.1437,0.01437,16450,15811.1,15567,15385.1,15287.8,15210.9,15177.1,15145.2,15137.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0582,0.0864,0.0864,0.00864,16450,15895.8,15593.3,15370.1,15244.1,15151.5,15105.3,15068.7,15059,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.0747,0.0841,0.0841,0.00841,16450,15965.4,15571.7,15282.9,15112.8,14994.9,14930.2,14885.2,14871.9,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.0377,0.0377,0.00377,16450,15985.2,15476.2,15101.8,14875.9,14724.7,14636.9,14579.6,14561.4,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.0539,0.0539,0.00539,16450,15981.6,15415.3,14997.3,14743.5,14574.7,14475.4,14412.7,14392.7,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.022,0.0591,0.0591,0.00591,16450,15971.3,15379.2,14941.4,14675.2,14498.8,14394.6,14329.5,14308.5,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.032,0.034,0.034,0.0034,16450,15936.8,15306.4,14842,14561.7,14375.7,14266.3,14197.8,14175.6,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
1,0.02,0.1018,0.1018,0.01018,16450,15852.4,15174.7,14678.3,14384.9,14187.4,14073,14000.3,13976.8,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,12
