"ActiveCells","POR","PERMI","PERMJ","PERMK","Pressure[0]","Pressure[366]","Pressure[731]","Pressure[1096]","Pressure[1461]","Pressure[1827]","Pressure[2192]","Pressure[2557]","Pressure[2922]","Pressure[3288]","Pressure[3653]","Pressure[4018]","Pressure[4383]","Pressure[4749]","Pressure[5114]","Pressure[5479]","Pressure[5844]","Pressure[6100.842]","CO2Gas[0]","CO2Gas[366]","CO2Gas[731]","CO2Gas[1096]","CO2Gas[1461]","CO2Gas[1827]","CO2Gas[2192]","CO2Gas[2557]","CO2Gas[2922]","CO2Gas[3288]","CO2Gas[3653]","CO2Gas[4018]","CO2Gas[4383]","CO2Gas[4749]","CO2Gas[5114]","CO2Gas[5479]","CO2Gas[5844]","CO2Gas[6100.842]","CO2Oil[0]","CO2Oil[366]","CO2Oil[731]","CO2Oil[1096]","CO2Oil[1461]","CO2Oil[1827]","CO2Oil[2192]","CO2Oil[2557]","CO2Oil[2922]","CO2Oil[3288]","CO2Oil[3653]","CO2Oil[4018]","CO2Oil[4383]","CO2Oil[4749]","CO2Oil[5114]","CO2Oil[5479]","CO2Oil[5844]","CO2Oil[6100.842]","CO2Water[0]","CO2Water[366]","CO2Water[731]","CO2Water[1096]","CO2Water[1461]","CO2Water[1827]","CO2Water[2192]","CO2Water[2557]","CO2Water[2922]","CO2Water[3288]","CO2Water[3653]","CO2Water[4018]","CO2Water[4383]","CO2Water[4749]","CO2Water[5114]","CO2Water[5479]","CO2Water[5844]","CO2Water[6100.842]","Cell Type"
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.001,0.001,0.001,0.0001,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0992,2.097,2.097,0.2097,16450,15414,15305,15138,15152,15056,15055,15029,15045,15028,15034,14986,15015,14970,15024,15102,15046,14986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.1101,0.9765,0.9765,0.09765,16450,15123,15010,14836,14850,14751,14750,14723,14739,14721,14727,14678,14708,14661,14718,14799,14740,14677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0712,0.3552,0.3552,0.03552,16450,15015,14893,14700,14721,14611,14613,14586,14607,14587,14596,14542,14577,14526,14591,14682,14618,14548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0627,0.1699,0.1699,0.01699,16450,14678,14520,14277,14315,14180,14192,14166,14199,14178,14197,14132,14180,14120,14205,14319,14246,14160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0787,0.2129,0.2129,0.02129,16450,14632,14406,14123,14144,14004,14010,13989,14020,14008,14022,13959,14006,13947,14035,14168,14085,13998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0201,0.4437,0.4437,0.04437,16450,14622,14340,14026,14031,13883,13880,13861,13888,13879,13890,13827,13873,13814,13905,14051,13962,13873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.0798,0.7008,0.7008,0.07008,16450,14603,14296,13966,13964,13811,13805,13786,13811,13804,13814,13750,13795,13736,13827,13979,13888,13797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,0.075,0.3358,0.3358,0.03358,16450,14607,14267,13919,13907,13750,13740,13721,13744,13739,13747,13685,13728,13670,13761,13917,13825,13734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
